Country,Data source,Sector,Gas,Unit,2018,2017,2016,2015,2014,2013,2012,2011,2010
Belgium,CAIT,Total including LUCF,CO2,MtCO₂e,93.63,92.93,94.48,92.84,87.8,94.25,92.6,93.21,103.46
Qatar,CAIT,Total including LUCF,CO2,MtCO₂e,90.17,87.68,85.28,83.31,80.4,74.6,73.29,65.77,62.27
Bolivia,CAIT,Total including LUCF,CO2,MtCO₂e,90.09,89.64,88.99,80.19,79.95,78.34,77.02,76.22,71.94
Kuwait,CAIT,Total including LUCF,CO2,MtCO₂e,89.45,89.71,89.87,88.03,83.57,85.25,83.58,81.15,78.22
Tanzania,CAIT,Total including LUCF,CO2,MtCO₂e,75.68,75.47,75.03,63.65,62.68,62.76,61.83,60.13,58.88
Oman,CAIT,Total including LUCF,CO2,MtCO₂e,73.39,69.92,69.56,68.3,64.47,60.99,58.65,52.38,46.47
Turkmenistan,CAIT,Total including LUCF,CO2,MtCO₂e,71.73,71.96,72.02,72.08,69.49,67.78,66.3,63.41,57.19
Greece,CAIT,Total including LUCF,CO2,MtCO₂e,66.68,68.19,68.25,69.41,70.95,73.89,81.49,85.95,86.49
Ecuador,CAIT,Total including LUCF,CO2,MtCO₂e,65.68,63.91,65.16,57.76,58.25,56.47,53.68,52.55,63.22
Morocco,CAIT,Total including LUCF,CO2,MtCO₂e,64.74,63.99,61.14,61.71,59.72,58.28,58.71,56.35,49.14
Angola,CAIT,Total including LUCF,CO2,MtCO₂e,62.93,66.44,71.01,70.76,70.23,68.42,65.85,65.07,64.14
Israel,CAIT,Total including LUCF,CO2,MtCO₂e,62.05,66.12,65.34,66.09,64.67,66.95,76.01,69.77,70.51
Mozambique,CAIT,Total including LUCF,CO2,MtCO₂e,59.47,58.85,58.61,51.22,50.05,49.04,48.66,48.78,51.64
Libya,CAIT,Total including LUCF,CO2,MtCO₂e,58.94,56.81,51.18,53.84,59.7,54.99,52.3,38.05,57.23
Austria,CAIT,Total including LUCF,CO2,MtCO₂e,56.06,58.71,56.27,56.08,54.92,58.68,58.04,61.2,63.79
Paraguay,CAIT,Total including LUCF,CO2,MtCO₂e,54.4,54,53.1,74.5,73.8,73.47,73.35,73.39,61.35
Romania,CAIT,Total including LUCF,CO2,MtCO₂e,52,51.22,48.26,-212.22,-213.71,-213.11,-203.39,-201.17,74.81
Finland,CAIT,Total including LUCF,CO2,MtCO₂e,51.3,49.7,52.33,-11.81,-8.47,-4.46,-5.25,0.44,47.7
Portugal,CAIT,Total including LUCF,CO2,MtCO₂e,50.07,53.63,49.06,49.04,45.12,45.75,47.42,49.06,51.53
Botswana,CAIT,Total including LUCF,CO2,MtCO₂e,49.54,49.2,48.45,48.54,48.46,46.89,46.46,45.33,44.71
Papua New Guinea,CAIT,Total including LUCF,CO2,MtCO₂e,48.46,48.52,48.47,46.54,45.98,45.44,45.2,45.47,38.24
Hungary,CAIT,Total including LUCF,CO2,MtCO₂e,48.28,48.45,46.39,44.72,41.96,42.1,44.77,48.25,50.15
Ethiopia,CAIT,Total including LUCF,CO2,MtCO₂e,48,47.23,46.75,44.46,43.91,41.97,40.2,39.29,37.72
